mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.87509552637736,0.07808759443274524,0.2789781888326009,0.04879559251478479,0.01,4,100,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",0.6261349270198828,0.6170798898071626,0.6172276098117513,0.6201474755462656,0.004234197024358546,7
3.1993800004323325,0.08661813293834873,0.3449222246805827,0.008313511434158297,0.01,4,200,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200}",0.6258472142446869,0.6170628085888161,0.6172276098117513,0.6200458775484181,0.00410271621070534,8
2.1818765004475913,0.04437262763896,0.2936515808105469,0.0067775674157984885,0.01,6,100,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.6260769672601952,0.6163550865924992,0.6175630923832363,0.6199983820786436,0.0043264086611298,10
4.052706797917684,0.0707627964324063,0.5504876772562662,0.01542375777889255,0.01,6,200,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.6262347806110728,0.6160908986571789,0.6177579705176551,0.6200278832619689,0.004441393413012971,9
3.261176347732544,0.2302680670647562,0.35393468538920086,0.03612034438870935,0.01,8,100,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100}",0.6255781683626273,0.6174806604318208,0.6194588370754174,0.6208392219566218,0.003446883180262194,6
5.813077211380005,0.317973967655825,0.7254535357157389,0.009875680070389413,0.01,8,200,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 200}",0.6259400671063288,0.6171441774491682,0.6201639912230049,0.6210827452595006,0.0036492008668491684,5
1.727462609608968,0.010853951457401506,0.19897015889485678,0.004919777254001708,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",0.626553152323976,0.6161083065626434,0.6172839506172839,0.6199818031679678,0.004671367182701488,11
3.126191775004069,0.053672874110166455,0.37039844195048016,0.005847801103467726,0.1,4,200,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",0.6269896193771626,0.6151543067710732,0.6162657502863689,0.6194698921448683,0.005336575050723407,12
2.0653669039408364,0.018213948359185793,0.2891906102498372,0.005335469889080501,0.1,6,100,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.6277101449275362,0.6171468240194377,0.6204024982650936,0.6217531557373558,0.004416947955123246,4
3.775491635004679,0.03327720713020017,0.5757149855295817,0.052066495550255866,0.1,6,200,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.6334755808440019,0.6182464454976303,0.6243511090136857,0.625357711785106,0.006257879177703334,3
2.75496768951416,0.11375112715460478,0.3316427866617839,0.00370897302686344,0.1,8,100,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",0.6344177046801306,0.6241321522623893,0.629267704186271,0.6292725203762637,0.0041990605720240645,2
4.384790579477946,0.49301766588630663,0.45147164662679035,0.13673868188645538,0.1,8,200,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200}",0.6448271397125469,0.6372599896211728,0.6422065426555484,0.6414312239964227,0.003137544623187282,1
