mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.8604316711425781,0.09459576956512596,0.26635050773620605,0.010869574898704357,0.01,4,100,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",0.6261349270198828,0.6170798898071626,0.6172276098117513,0.6201474755462656,0.004234197024358546,7
3.3318599859873452,0.08036040833379285,0.36255645751953125,0.014827424910078959,0.01,4,200,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200}",0.6258472142446869,0.6170628085888161,0.6172276098117513,0.6200458775484181,0.00410271621070534,8
2.4248204231262207,0.10395833949693459,0.31765254338582355,0.009113977144138068,0.01,6,100,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.6260769672601952,0.6163550865924992,0.6175630923832363,0.6199983820786436,0.0043264086611298,10
4.075459162394206,0.07654362729098475,0.5444250106811523,0.009967968045185304,0.01,6,200,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.6262347806110728,0.6160908986571789,0.6177579705176551,0.6200278832619689,0.004441393413012971,9
3.0108834902445474,0.0818358520281811,0.33706148465474445,0.00446362407328594,0.01,8,100,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100}",0.6255781683626273,0.6174806604318208,0.6194588370754174,0.6208392219566218,0.003446883180262194,6
5.439072767893474,0.18567449326844193,0.6922831535339355,0.021712351519163484,0.01,8,200,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 200}",0.6259400671063288,0.6171441774491682,0.6201639912230049,0.6210827452595006,0.0036492008668491684,5
1.6798427104949951,0.037854196270894515,0.20239591598510742,0.00045151598632069064,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",0.626553152323976,0.6161083065626434,0.6172839506172839,0.6199818031679678,0.004671367182701488,11
2.9737813472747803,0.045881770498622965,0.3572707970937093,0.011656422867379453,0.1,4,200,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",0.6269896193771626,0.6151543067710732,0.6162657502863689,0.6194698921448683,0.005336575050723407,12
2.0226284662882485,0.005935321038119027,0.29015692075093585,0.01991645440694654,0.1,6,100,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.6277101449275362,0.6171468240194377,0.6204024982650936,0.6217531557373558,0.004416947955123246,4
3.8526646296183267,0.07779754422610942,0.5633519490559896,0.01981662022309373,0.1,6,200,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.6334755808440019,0.6182464454976303,0.6243511090136857,0.625357711785106,0.006257879177703334,3
2.7453240553538003,0.043310164393940136,0.34843603769938153,0.010516391547203637,0.1,8,100,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",0.6344177046801306,0.6241321522623893,0.629267704186271,0.6292725203762637,0.0041990605720240645,2
4.8363674481709795,0.23326100766508553,0.6575034459431967,0.009622836182913303,0.1,8,200,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200}",0.6448271397125469,0.6372599896211728,0.6422065426555484,0.6414312239964227,0.003137544623187282,1
